Algorithm,epsilon,Budget,f(s),no_queries,time
Tang2,0.1,500,125.672,2346428,429665
Tang2,0.1,700,159.947,2334066,430426
Tang2,0.1,1000,125.672,2362529,430373
Tang2,0.1,1200,133.289,2344935,430058
Tang2,0.1,1500,137.097,2345035,430385
Tang2,0.1,2000,171.371,2353307,430420
