2%,ALG1,,,,ALG2,6338.58,9.263975921,3.822,0.2-IFA,,,,0.3-IFA,,,,ALG3,5771.43,9.284798283,3.493,0.2-DS,,,,0.3-DS,,,,SMKDET,5175.98,9.26350192,3.019,0.2-RS,,,,0.3-RS,,,,SMKRAN,5478.97,9.267571005,2.94,SMKSTREAM,5406.1,11.16701651,849.478,FANTOM,4733.97,12.40583006,18517.5,SampleGeedy,2495.61,9.61600546,3.024
4%,ALG1,,,,ALG2,6821.95,9.453757028,4.827,0.2-IFA,,,,0.3-IFA,,,,ALG3,6164.6,9.360138737,4.817,0.2-DS,,,,0.3-DS,,,,SMKDET,5489.29,9.535751661,3.634,0.2-RS,,,,0.3-RS,,,,SMKRAN,6157.39,9.500693873,4.254,SMKSTREAM,5959.71,11.19744669,937.046,FANTOM,4733.97,12.40583006,18525.4,SampleGeedy,3065.17,9.8571818,3.958
6%,ALG1,,,,ALG2,6999.97,9.537627699,5.409,0.2-IFA,,,,0.3-IFA,,,,ALG3,6571.79,9.415401416,5.633,0.2-DS,,,,0.3-DS,,,,SMKDET,5694.66,9.676022176,4.132,0.2-RS,,,,0.3-RS,,,,SMKRAN,6553.19,9.623509064,5.144,SMKSTREAM,6328.57,11.2091464,1000.95,FANTOM,4733.97,12.40583006,18550.5,SampleGeedy,3454.06,10.0211817,4.781
8%,ALG1,,,,ALG2,7100.43,9.600285668,5.911,0.2-IFA,,,,0.3-IFA,,,,ALG3,6674.55,9.455871442,6.51,0.2-DS,,,,0.3-DS,,,,SMKDET,5833.48,9.784422445,4.491,0.2-RS,,,,0.3-RS,,,,SMKRAN,6654.92,9.741380303,6.028,SMKSTREAM,6527.18,11.22117731,1053.85,FANTOM,4733.97,12.40583006,18562.6,SampleGeedy,3740.02,10.14901862,5.555
10%,ALG1,,,,ALG2,7146.73,9.637827864,6.202,,,,,,,,,ALG3,6874.72,9.492054673,6.918,,,,,,,,,SMKDET,5954.47,9.873852747,4.822,,,,,,,,,SMKRAN,6867.94,9.788637711,6.719,SMKSTREAM,6643.65,11.23295299,1091.9,FANTOM,4733.97,12.40583006,18538.9,SampleGeedy,3939.52,10.23870901,6.179
12%,ALG1,,,,ALG2,7194.08,9.668903811,6.484,,,,,,,,,ALG3,6963.44,9.522812613,7.216,,,,,,,,,SMKDET,6008.12,9.944149534,5.106,,,,,,,,,SMKRAN,6972.77,9.810275171,7.493,SMKSTREAM,6765.01,11.24557919,1132.9,FANTOM,4733.97,12.40583006,18499,SampleGeedy,4127.9,10.3185729,6.803
