1000,ALG1,248115,4002,2.33,ALG2,314741,11.75670267,78.202,0.2-IFA,,,,0.3-IFA,,,,ALG3,277812,11.53843725,64.349,0.2-DS,,,,0.3-DS,,,,SMKDET,304086,666005,431.351,0.2-RS,,,,0.3-RS,,,,SMKRAN,288101,12.74445604,221.569,SMKSTREAM,300453,13.66797065,501.143
1200,ALG1,277161,4002,2.369,ALG2,341894,11.76579091,80.736,0.2-IFA,,,,0.3-IFA,,,,ALG3,318138,11.5874762,69.405,0.2-DS,,,,0.3-DS,,,,SMKDET,330444,729149,483.137,0.2-RS,,,,0.3-RS,,,,SMKRAN,323182,12.81235935,245.567,SMKSTREAM,338708,13.68023135,514.177
1500,ALG1,342928,4002,2.445,ALG2,366103,11.78019307,83.467,0.2-IFA,,,,0.3-IFA,,,,ALG3,342927,11.60187912,77.285,0.2-DS,,,,0.3-DS,,,,SMKDET,364044,801881,543.998,0.2-RS,,,,0.3-RS,,,,SMKRAN,331377,12.98986916,296.172,SMKSTREAM,359908,13.68671309,533.559
1700,ALG1,359319,4002,2.467,ALG2,373234,11.78488966,85.428,0.2-IFA,,,,0.3-IFA,,,,ALG3,359318,11.67103971,78.087,0.2-DS,,,,0.3-DS,,,,SMKDET,382830,853507,588.11,0.2-RS,,,,0.3-RS,,,,SMKRAN,369204,12.96880419,301.016,SMKSTREAM,389531,13.6914281,545.471
2000,ALG1,395965,4002,2.511,ALG2,412190,11.77880661,86.142,,,,,,,,,ALG3,395964,11.68000647,79.218,,,,,,,,,SMKDET,410718,915820,645.538,,,,,,,,,SMKRAN,382033,13.08201627,342.953,SMKSTREAM,442539,13.74168747,591.989
2500,ALG1,437182,4002,2.56,ALG2,457182,11.7763507,88.36,,,,,,,,,ALG3,437182,11.70854159,83.66,,,,,,,,,SMKDET,453361,1003312,726.023,,,,,,,,,SMKRAN,428658,13.11518568,375.361,SMKSTREAM,466486,13.70823265,588.782
3000,ALG1,467821,4002,2.602,ALG2,481159,11.76805594,89.804,,,,,,,,,ALG3,467820,11.78180691,92.397,,,,,,,,,SMKDET,491973,1082066,803.978,,,,,,,,,SMKRAN,455905,13.22747986,414.03,SMKSTREAM,479515,13.71463884,611.032
