2%,ALG1,,,,ALG2,448.248,7.496097345,0.767,0.2-IFA,,,,0.3-IFA,,,,ALG3,446.512,7.514254653,0.782,0.2-DS,,,,0.3-DS,,,,SMKDET,444.829,7.664815785,1.053,0.2-RS,,,,0.3-RS,,,,SMKRAN,447.431,7.623641947,1.375,SMKSTREAM,448.007,11.18137541,251.692,FANTOM,444.829,12.2687666,726.967,SampleGeedy,448.24,10.63033007,300.565
4%,ALG1,,,,ALG2,448.248,7.534762657,0.768,0.2-IFA,,,,0.3-IFA,,,,ALG3,448.043,7.545918151,0.813,0.2-DS,,,,0.3-DS,,,,SMKDET,444.829,8.130647968,2.925,0.2-RS,,,,0.3-RS,,,,SMKRAN,447.726,7.614312146,1.053,SMKSTREAM,448.007,11.25747103,274.639,FANTOM,444.829,12.2687666,745.756,SampleGeedy,448.24,10.63033007,344.064
6%,ALG1,,,,ALG2,448.248,7.553286606,0.772,0.2-IFA,,,,0.3-IFA,,,,ALG3,448.043,7.566311015,0.834,0.2-DS,,,,0.3-DS,,,,SMKDET,444.829,8.523175263,8.394,0.2-RS,,,,0.3-RS,,,,SMKRAN,448.356,7.623153068,1.262,SMKSTREAM,448.007,11.29945796,287.654,FANTOM,444.829,12.2687666,720.713,SampleGeedy,448.24,10.63033007,307.351
8%,ALG1,,,,ALG2,449.248,7.556950572,0.78,0.2-IFA,,,,0.3-IFA,,,,ALG3,449.062,7.555381944,0.901,0.2-DS,,,,0.3-DS,,,,SMKDET,444.829,8.814479,13.454,0.2-RS,,,,0.3-RS,,,,SMKRAN,449.272,7.660114319,1.254,SMKSTREAM,448.007,11.32819311,291.987,FANTOM,444.829,12.2687666,729.049,SampleGeedy,448.24,10.63033007,304.212
10%,ALG1,,,,ALG2,450.1,7.576097341,0.795,,,,,,,,,ALG3,449.365,7.39387829,0.746,,,,,,,,,SMKDET,444.829,9.032170186,20.215,,,,,,,,,SMKRAN,449.462,7.709756864,0.99,SMKSTREAM,448.007,11.34993869,304.539,FANTOM,444.829,12.2687666,753.088,SampleGeedy,448.24,10.63033007,300.688
12%,ALG1,,,,ALG2,451.3,7.585788822,0.804,,,,,,,,,ALG3,450.2,7.424761762,0.738,,,,,,,,,SMKDET,444.829,9.393578176,43.078,,,,,,,,,SMKRAN,449.908,7.778630147,0.583,SMKSTREAM,448.007,11.36735609,321.318,FANTOM,444.829,12.2687666,731.08,SampleGeedy,448.24,10.63033007,317.761
