2%,ALG1,,,,ALG2,15566.1,8.845345196,2.801,0.2-IFA,,,,0.3-IFA,,,,ALG3,13425.8,8.767017621,2.322,0.2-DS,,,,0.3-DS,,,,SMKDET,14839.6,9.177093778,2.888,0.2-RS,,,,0.3-RS,,,,SMKRAN,12262.5,8.874028123,2.25,SMKSTREAM,12124.4,10.4637406,787.281,FANTOM,14726.5,11.40377637,21096.6,SampleGreedy,5354.09,8.785692444,1.519
4%,ALG1,,,,ALG2,19050.8,9.095602695,4.123,0.2-IFA,,,,0.3-IFA,,,,ALG3,15406.4,8.899184943,3.273,0.2-DS,,,,0.3-DS,,,,SMKDET,17882.8,9.257223958,3.487,0.2-RS,,,,0.3-RS,,,,SMKRAN,15059.4,9.108529106,3.262,SMKSTREAM,15086.8,10.49993167,883.329,FANTOM,16497.4,11.40396862,23388.4,SampleGreedy,5921.91,9.008224188,1.791
6%,ALG1,,,,ALG2,20970.3,9.260272741,5.322,0.2-IFA,,,,0.3-IFA,,,,ALG3,17961.1,8.955319082,4.09,0.2-DS,,,,0.3-DS,,,,SMKDET,18788.2,9.394410399,3.962,0.2-RS,,,,0.3-RS,,,,SMKRAN,17429.9,9.290998275,4.408,SMKSTREAM,17198.7,10.52628746,971.234,FANTOM,16497.4,11.40396862,36272.8,SampleGreedy,6229.58,9.151545325,1.917
8%,ALG1,,,,ALG2,22182.5,9.391327706,6.475,0.2-IFA,,,,0.3-IFA,,,,ALG3,18449.9,9.104535313,4.943,0.2-DS,,,,0.3-DS,,,,SMKDET,18878.7,9.515985145,4.415,0.2-RS,,,,0.3-RS,,,,SMKRAN,18448.5,9.379323364,5.088,SMKSTREAM,18734.8,10.54676005,1047.52,FANTOM,16497.4,11.40396862,21101.1,SampleGreedy,6286.47,9.278279355,1.997
10%,ALG1,,,,ALG2,23015.6,9.490242257,7.49,,,,,,,,,ALG3,19767.3,9.180602554,5.608,,,,,,,,,SMKDET,18878.7,9.552723675,4.83,,,,,,,,,SMKRAN,19615.7,9.493863809,6.159,SMKSTREAM,19835,10.56056187,1111.91,FANTOM,16497.4,11.40396862,21060.8,SampleGreedy,8003.53,9.356948392,2.222
12%,ALG1,,,,ALG2,23612,9.541728277,8.159,,,,,,,,,ALG3,20257.1,9.212737497,6.415,,,,,,,,,SMKDET,18878.7,9.589598388,5.263,,,,,,,,,SMKRAN,20534.5,9.589940514,7.057,SMKSTREAM,20800.8,10.57758688,1189.57,FANTOM,16497.4,11.40396862,21941,SampleGreedy,9713.22,9.444858981,2.651
